空气阻力系数k = f / v^2 = 0.800000, 初速(m/s)(向上为正) = -100.000000, 物体质量(kg) = 1.000000, 计算时间精度(ms) = 1.000000, 总计算时间(ms) = 10000.000000
时间(ms),速度(m/s),加速度(m/s^2),位移(m),总位移(m),冲量(Ns),做功(j)
1800.000000,-3.500260,-0.001466,-0.003500,-9.582163,-96.499740,0.000005
1805.000000,-3.500253,-0.001426,-0.003500,-9.599664,-96.499747,0.000005
1810.000000,-3.500246,-0.001386,-0.003500,-9.617166,-96.499754,0.000005
1815.000000,-3.500239,-0.001348,-0.003500,-9.634667,-96.499761,0.000005
1820.000000,-3.500233,-0.001311,-0.003500,-9.652168,-96.499767,0.000005
1825.000000,-3.500226,-0.001274,-0.003500,-9.669669,-96.499774,0.000004
1830.000000,-3.500220,-0.001239,-0.003500,-9.687170,-96.499780,0.000004
1835.000000,-3.500214,-0.001205,-0.003500,-9.704671,-96.499786,0.000004
1840.000000,-3.500208,-0.001171,-0.003500,-9.722172,-96.499792,0.000004
1845.000000,-3.500202,-0.001139,-0.003500,-9.739673,-96.499798,0.000004
1850.000000,-3.500197,-0.001107,-0.003500,-9.757174,-96.499803,0.000004
1855.000000,-3.500191,-0.001077,-0.003500,-9.774675,-96.499809,0.000004
1860.000000,-3.500186,-0.001047,-0.003500,-9.792176,-96.499814,0.000004
1865.000000,-3.500181,-0.001018,-0.003500,-9.809677,-96.499819,0.000004
1870.000000,-3.500176,-0.000990,-0.003500,-9.827178,-96.499824,0.000003
1875.000000,-3.500171,-0.000962,-0.003500,-9.844679,-96.499829,0.000003
1880.000000,-3.500166,-0.000936,-0.003500,-9.862180,-96.499834,0.000003
1885.000000,-3.500162,-0.000910,-0.003500,-9.879681,-96.499838,0.000003
1890.000000,-3.500157,-0.000885,-0.003500,-9.897181,-96.499843,0.000003
1895.000000,-3.500153,-0.000860,-0.003500,-9.914682,-96.499847,0.000003
1900.000000,-3.500148,-0.000836,-0.003500,-9.932183,-96.499852,0.000003
1905.000000,-3.500144,-0.000813,-0.003500,-9.949684,-96.499856,0.000003
1910.000000,-3.500140,-0.000791,-0.003500,-9.967184,-96.499860,0.000003
1915.000000,-3.500136,-0.000769,-0.003500,-9.984685,-96.499864,0.000003
1920.000000,-3.500133,-0.000747,-0.003500,-10.002186,-96.499867,0.000003
1925.000000,-3.500129,-0.000727,-0.003500,-10.019686,-96.499871,0.000003
1930.000000,-3.500125,-0.000707,-0.003500,-10.037187,-96.499875,0.000002
1935.000000,-3.500122,-0.000687,-0.003500,-10.054688,-96.499878,0.000002
1940.000000,-3.500119,-0.000668,-0.003500,-10.072188,-96.499881,0.000002
1945.000000,-3.500115,-0.000650,-0.003500,-10.089689,-96.499885,0.000002
1950.000000,-3.500112,-0.000632,-0.003500,-10.107189,-96.499888,0.000002
1955.000000,-3.500109,-0.000614,-0.003500,-10.124690,-96.499891,0.000002
1960.000000,-3.500106,-0.000597,-0.003500,-10.142191,-96.499894,0.000002
1965.000000,-3.500103,-0.000581,-0.003500,-10.159691,-96.499897,0.000002
1970.000000,-3.500100,-0.000564,-0.003500,-10.177192,-96.499900,0.000002
1975.000000,-3.500097,-0.000549,-0.003500,-10.194692,-96.499903,0.000002
1980.000000,-3.500095,-0.000534,-0.003500,-10.212193,-96.499905,0.000002
1985.000000,-3.500092,-0.000519,-0.003500,-10.229693,-96.499908,0.000002
1990.000000,-3.500090,-0.000504,-0.003500,-10.247194,-96.499910,0.000002
1995.000000,-3.500087,-0.000491,-0.003500,-10.264694,-96.499913,0.000002
2000.000000,-3.500085,-0.000477,-0.003500,-10.282194,-96.499915,0.000002
2005.000000,-3.500082,-0.000464,-0.003500,-10.299695,-96.499918,0.000002
2010.000000,-3.500080,-0.000451,-0.003500,-10.317195,-96.499920,0.000002
2015.000000,-3.500078,-0.000438,-0.003500,-10.334696,-96.499922,0.000002
2020.000000,-3.500076,-0.000426,-0.003500,-10.352196,-96.499924,0.000001
2025.000000,-3.500074,-0.000414,-0.003500,-10.369696,-96.499926,0.000001
2030.000000,-3.500072,-0.000403,-0.003500,-10.387197,-96.499928,0.000001
